             ungodly 2	ungodly, | ungodly.
          strengthen 1	strengthen,
            spearmen 1	spearmen,
               Egypt 3	Egypt; | Egypt, | Egypt:
                mire 1	mire,
            standing 1	standing:
              crying 1	crying:
               dried 1	dried:
          wrongfully 2	wrongfully, | wrongfully;
            reproach 4	reproach; | reproach. | reproach, | reproach?
                wept 1	wept,
             garment 4	garment; | garment. | garment: | garment,
           drunkards 1	drunkards.
                sink 1	sink:
           dishonour 1	dishonour:
           heaviness 1	heaviness:
                pity 1	pity,
          comforters 1	comforters,
               drink 1	drink.
             welfare 1	welfare,
                trap 1	trap.
            darkened 1	darkened,
               shake 1	shake.
               tents 2	tents. | tents,
             smitten 2	smitten; | smitten,
           sorrowful 1	sorrowful:
               hoofs 1	hoofs.
           prisoners 2	prisoners. | prisoners:
               Judah 2	Judah: | Judah,
            backward 1	backward,
           confusion 2	confusion, | confusion.
              escape 2	escape: | escape.
              resort 1	resort:
                 GOD 2	GOD: | GOD,
                 age 1	age;
             faileth 2	faileth. | faileth:
              Saying 1	Saying,
          greyheaded 1	greyheaded,
           greatness 2	greatness, | greatness.
            psaltery 3	psaltery, | psaltery. | psaltery;
            redeemed 2	redeemed. | redeemed;
           oppressor 1	oppressor.
              endure 2	endure, | endure:
            flourish 2	flourish; | flourish.
            endureth 1	endureth.
            presents 1	presents:
               gifts 1	gifts.
              crieth 1	crieth;
            violence 1	violence:
               Sheba 1	Sheba:
               ended 1	ended.
                gone 1	gone;
             slipped 1	slipped.
                firm 1	firm.
               chain 1	chain;
                wish 1	wish.
             loftily 1	loftily.
              hither 1	hither:
             plagued 1	plagued,
                thus 1	thus;
          desolation 1	desolation,
             terrors 1	terrors.
             awaketh 1	awaketh;
             awakest 1	awakest,
               image 1	image.
             grieved 2	grieved, | grieved;
            ignorant 1	ignorant:
             pasture 3	pasture? | pasture, | pasture.
               dwelt 1	dwelt.
         desolations 1	desolations;
               signs 2	signs. | signs:
               trees 3	trees. | trees; | trees,
             hammers 1	hammers.
              ground 2	ground. | ground;
             prophet 1	prophet:
              rivers 1	rivers.
               thine 2	thine, | thine:
              winter 1	winter.
          reproached 1	reproached,
             declare 1	declare.
           dissolved 1	dissolved:
               fools 1	fools,
           foolishly 1	foolishly:
                horn 1	horn:
                neck 1	neck.
                east 1	east,
                west 1	west,
               south 1	south.
               judge 1	judge:
             another 2	another. | another,
                 red 1	red;
             mixture 1	mixture;
               known 3	known: | known. | known,
             spoiled 1	spoiled,
              feared 3	feared: | feared, | feared.
            restrain 1	restrain.
                 Vow 1	Vow,
             princes 3	princes: | princes. | princes,
           comforted 1	comforted.
          complained 1	complained,
              waking 1	waking:
            gracious 2	gracious? | gracious,
           infirmity 1	infirmity:
             wonders 2	wonders: | wonders,
              Joseph 2	Joseph. | Joseph,
               sound 2	sound: | sound.
               Aaron 3	Aaron. | Aaron, | Aaron:
                 law 6	law: | law; | law, | law? | law. | law!
        commandments 4	commandments: | commandments; | commandments, | commandments.
              aright 1	aright,
             Ephraim 2	Ephraim, | Ephraim:
               armed 1	armed,
                bows 1	bows,
                Zoan 1	Zoan.
             through 1	through;
               cloud 1	cloud,
              depths 3	depths. | depths, | depths:
                lust 2	lust. | lust:
          overflowed 1	overflowed;
                 eat 1	eat,
                food 2	food: | food,
                full 2	full. | full,
                camp 1	camp,
         habitations 1	habitations.
              filled 1	filled:
                  he 1	he,
          compassion 3	compassion, | compassion. | compassion;
               frogs 1	frogs,
         caterpiller 1	caterpiller,
              locust 1	locust.
                hail 2	hail, | hail;
               frost 1	frost.
        thunderbolts 1	thunderbolts.
         indignation 1	indignation,
          pestilence 2	pestilence; | pestilence.
                 Ham 3	Ham: | Ham. | Ham,
               sheep 2	sheep, | sheep;
               flock 2	flock. | flock;
              safely 1	safely,
           purchased 1	purchased.
                line 1	line,
              images 2	images. | images,
              Shiloh 1	Shiloh,
           captivity 1	captivity,
            marriage 1	marriage.
         lamentation 1	lamentation.
                wine 1	wine.
          sheepfolds 1	sheepfolds:
             defiled 1	defiled;
               heaps 1	heaps.
                 low 3	low. | low, | low:
                shed 1	shed.
           cherubims 2	cherubims, | cherubims;
               forth 2	forth. | forth,
               shine 2	shine; | shine,
               saved 1	saved.
             measure 1	measure.
                root 1	root,
              hedges 2	hedges, | hedges;
                vine 1	vine;
             planted 2	planted, | planted;
               psalm 2	psalm, | psalm.
             timbrel 1	timbrel,
                moon 2	moon, | moon:
           appointed 1	appointed,
           testimony 1	testimony,
              burden 1	burden:
             thunder 1	thunder:
             Meribah 1	Meribah.
                wide 1	wide,
               wheat 2	wheat: | wheat.
                gods 3	gods. | gods; | gods:
            unjustly 1	unjustly,
              course 1	course.
              tumult 1	tumult:
         remembrance 1	remembrance.
             consent 1	consent:
         Ishmaelites 1	Ishmaelites;
                Moab 1	Moab,
           Hagarenes 1	Hagarenes;
               Gebal 1	Gebal,
               Ammon 1	Ammon,
              Amalek 1	Amalek;
                Tyre 2	Tyre; | Tyre,
                 Lot 1	Lot.
          Midianites 1	Midianites;
              Sisera 1	Sisera,
               Jabin 1	Jabin,
               Kison 1	Kison:
               Endor 1	Endor:
                Oreb 1	Oreb,
                Zeeb 1	Zeeb:
               Zebah 1	Zebah,
            Zalmunna 1	Zalmunna:
               wheel 1	wheel;
                wood 2	wood, | wood.
               storm 1	storm.
             JEHOVAH 1	JEHOVAH,
             longeth 1	longeth,
             herself 1	herself,
              altars 1	altars,
                well 2	well; | well.
               pools 1	pools.
               cease 2	cease. | cease,
               other 1	other.
             forgive 1	forgive;
               alone 1	alone.
           suffering 1	suffering,
            handmaid 2	handmaid. | handmaid:
            Ethiopia 1	Ethiopia;
               count 1	count,
                dead 3	dead, | dead? | dead.
               deeps 2	deeps. | deeps:
          affliction 3	affliction: | affliction, | affliction.
                dark 2	dark? | dark;
       forgetfulness 1	forgetfulness?
          distracted 1	distracted.
              chosen 2	chosen, | chosen.
               slain 1	slain;
                walk 2	walk, | walk;
         established 2	established: | established,
              father 1	father,
           firstborn 2	firstborn, | firstborn:
                 rod 1	rod,
             stripes 1	stripes.
                fail 1	fail.
               break 1	break,
            abhorred 1	abhorred,
                ruin 1	ruin.
           shortened 1	shortened:
              sayest 1	sayest,
                past 1	past,
         flourisheth 2	flourisheth, | flourisheth.
           withereth 1	withereth.
                told 1	told.
                 ten 1	ten;
               years 1	years,
              sorrow 2	sorrow; | sorrow.
            Almighty 1	Almighty.
              fowler 1	fowler,
            feathers 1	feathers,
               stone 1	stone.
               adder 1	adder:
         flourishing 1	flourishing;
            reigneth 3	reigneth, | reigneth: | reigneth;
          stablished 1	stablished,
           belongeth 2	belongeth; | belongeth,
            stranger 1	stranger,
          Understand 1	Understand,
             correct 1	correct?
          chastenest 1	chastenest,
              psalms 1	psalms.
               maker 1	maker.
         provocation 1	provocation,
               idols 1	idols:
                roar 1	roar,
              joyful 1	joyful,
              cometh 1	cometh,
                 saw 1	saw,
             victory 1	victory.
              equity 2	equity. | equity,
           footstool 2	footstool; | footstool.
             priests 1	priests,
              pillar 1	pillar:
          inventions 2	inventions. | inventions:
             singing 2	singing. | singing:
           ourselves 1	ourselves;
              person 1	person.
              suffer 1	suffer.
               smoke 3	smoke, | smoke. | smoke;
              hearth 1	hearth.
                skin 1	skin.
               watch 1	watch,
                 top 1	top.
           declineth 2	declineth; | declineth:
              stones 2	stones, | stones.
           destitute 2	destitute, | destitute.
            prisoner 1	prisoner;
            kingdoms 1	kingdoms,
             changed 1	changed:
            continue 1	continue,
            diseases 1	diseases;
             eagle's 1	eagle's.
               Moses 1	Moses,
               chide 1	chide:
               frame 1	frame;
            pleasure 2	pleasure. | pleasure;
            dominion 2	dominion: | dominion.
             curtain 1	curtain:
             chariot 1	chariot:
             spirits 1	spirits;
                fled 2	fled; | fled:
             valleys 1	valleys,
              thirst 1	thirst.
            branches 1	branches.
            chambers 1	chambers:
              cattle 2	cattle, | cattle;
                 sap 1	sap;
               nests 1	nests:
               stork 1	stork,
              conies 1	conies.
             ariseth 1	ariseth,
                dens 1	dens.
         innumerable 1	innumerable,
              beasts 1	beasts.
               ships 2	ships: | ships,
           leviathan 1	leviathan,
              gather 1	gather:
              breath 1	breath,
             created 2	created: | created.
           trembleth 1	trembleth:
               being 1	being.
               sweet 2	sweet: | sweet.
               Isaac 1	Isaac;
              Canaan 2	Canaan, | Canaan:
              number 2	number; | number,
                 few 2	few, | few;
               wrong 1	wrong:
               sakes 3	sakes; | sakes: | sakes,
                harm 1	harm.
             fetters 1	fetters:
                came 2	came: | came,
                free 1	free.
           substance 2	substance: | substance,
                fish 1	fish.
           abundance 1	abundance,
               flies 1	flies,
              coasts 1	coasts.
        caterpillers 1	caterpillers,
              tribes 1	tribes.
            departed 1	departed:
            covering 1	covering;
               asked 1	asked,
              quails 1	quails,
             promise 1	promise,
                laws 1	laws.
            wickedly 2	wickedly. | wickedly,
                left 1	left.
             request 1	request;
              Abiram 1	Abiram.
               Horeb 1	Horeb,
             saviour 1	saviour,
              breach 1	breach,
            Baalpeor 1	Baalpeor,
            Phinehas 1	Phinehas,
              stayed 1	stayed.
              strife 1	strife,
              devils 1	devils,
           daughters 1	daughters,
            captives 1	captives.
             thirsty 1	thirsty,
              labour 2	labour; | labour.
               brass 1	brass,
           rejoicing 2	rejoicing. | rejoicing,
          commandeth 1	commandeth,
                 fro 1	fro,
                calm 1	calm,
               quiet 1	quiet;
               haven 1	haven.
              elders 1	elders.
          barrenness 1	barrenness,
        watersprings 1	watersprings.
               dwell 2	dwell, | dwell;
              fields 1	fields,
           vineyards 1	vineyards,
            decrease 1	decrease.
               Again 1	Again,
                love 1	love.
           condemned 1	condemned:
              office 1	office.
               widow 2	widow. | widow:
           vagabonds 1	vagabonds,
                 beg 1	beg:
                hath 1	hath;
             cursing 1	cursing,
            blessing 1	blessing,
               curse 1	curse,
              mantle 1	mantle.
               sworn 1	sworn,
              repent 1	repent,
         Melchizedek 1	Melchizedek.
              bodies 1	bodies;
           countries 1	countries.
          remembered 1	remembered:
          discretion 1	discretion.
             tidings 1	tidings:
           dispersed 1	dispersed,
              Praise 1	Praise,
            dunghill 1	dunghill;
            fleddest 1	fleddest?
             Tremble 1	Tremble,
              throat 1	throat.
            believed 1	believed,
               liars 1	liars.
               bonds 1	bonds.
                bees 1	bees:
               enter 1	enter.
              corner 1	corner.
          prosperity 1	prosperity.
               cords 2	cords, | cords;
          diligently 1	diligently.
             utterly 1	utterly.
            precepts 3	precepts, | precepts: | precepts.
              cursed 1	cursed,
            contempt 2	contempt; | contempt.
         counsellors 1	counsellors.
               lying 1	lying:
          graciously 1	graciously.
        covetousness 1	covetousness.
             liberty 1	liberty:
              myself 2	myself. | myself,
          pilgrimage 1	pilgrimage.
                 had 1	had,
             portion 1	portion,
              astray 1	astray:
              grease 1	grease;
                 Let 1	Let,
             comfort 1	comfort,
             abideth 1	abideth.
          ordinances 1	ordinances:
            delights 2	delights, | delights.
          perfection 1	perfection:
               broad 1	broad.
            teachers 1	teachers:
            ancients 1	ancients,
               taste 1	taste!
                much 1	much:
              Accept 1	Accept,
               alway 1	alway,
                safe 1	safe:
               dross 1	dross:
             justice 1	justice:
          oppressors 1	oppressors.
           wonderful 1	wonderful:
              panted 1	panted:
            despised 1	despised:
           beginning 1	beginning:
         exceedingly 1	exceedingly.
             juniper 1	juniper.
              Mesech 1	Mesech,
               Kedar 1	Kedar!
             slumber 1	slumber.
              keeper 1	keeper:
               walls 1	walls,
          companions 1	companions'
             masters 1	masters,
            mistress 1	mistress;
               quick 1	quick,
             fowlers 1	fowlers:
             escaped 1	escaped.
               dream 1	dream.
            laughter 1	laughter,
             weepeth 1	weepeth,
                seed 1	seed,
                late 1	late,
             sorrows 1	sorrows:
                gate 1	gate.
               table 1	table.
             furrows 1	furrows.
           housetops 1	housetops,
               stand 1	stand?
          redemption 1	redemption.
             haughty 1	haughty,
               lofty 1	lofty:
             matters 1	matters,
               child 1	child.
         afflictions 1	afflictions:
             eyelids 1	eyelids,
            Ephratah 1	Ephratah:
           provision 1	provision:
                 bud 1	bud:
               unity 1	unity!
               beard 2	beard, | beard:
            garments 1	garments;
              Hermon 1	Hermon,
            pleasant 2	pleasant. | pleasant;
          treasuries 1	treasuries.
             Pharaoh 1	Pharaoh,
            Amorites 2	Amorites, | Amorites:
            memorial 1	memorial,
                Levi 1	Levi:
               lords 1	lords:
              lights 1	lights:
              estate 1	estate:
             Babylon 1	Babylon,
               mirth 1	mirth,
             cunning 1	cunning.
               lowly 1	lowly:
            uprising 1	uprising,
                 but 1	but,
              secret 1	secret,
           unperfect 1	unperfect;
             written 2	written, | written:
           fashioned 1	fashioned,
                sand 1	sand:
              adders 1	adders'
             wayside 1	wayside;
                pits 1	pits,
             incense 1	incense;
            dainties 1	dainties.
            kindness 1	kindness:
          calamities 1	calamities.
                nets 1	nets,
              beheld 1	beheld,
              prison 1	prison,
           justified 1	justified.
               fight 1	fight:
           lightning 1	lightning,
               store 1	store:
                case 1	case:
        unsearchable 1	unsearchable.
                acts 3	acts. | acts: | acts,
             kingdom 2	kingdom, | kingdom.
             destroy 1	destroy.
               blind 1	blind:
           strangers 1	strangers;
              comely 1	comely.
              wounds 1	wounds.
            infinite 1	infinite.
                meek 1	meek:
             borders 1	borders,
             swiftly 1	swiftly.
                wool 1	wool:
               ashes 1	ashes.
             morsels 1	morsels:
                cold 1	cold?
                blow 1	blow,
                flow 1	flow.
             heights 1	heights.
                Fire 1	Fire,
             vapours 1	vapours;
           Mountains 1	Mountains,
              Beasts 1	Beasts,
                fowl 1	fowl:
             maidens 1	maidens;
               dance 1	dance:
                beds 1	beds.
              organs 1	organs.
             cymbals 2	cymbals: | cymbals.
